#iteration,activeAgent,energyMean,costValue,walkGlobal,walkGlobalDeparture,AreaCovered,ReservoirSizeMean,RegrowDelayFoodItem
7999,170,262.894989,70.000000,368.345817,165.443418,0.004645,7.900000,25
15999,186,323.119995,70.000000,397.377875,156.829183,0.004777,9.020000,25
23999,193,354.165009,70.000000,419.901665,147.236635,0.004867,9.550000,35
31999,183,250.975006,70.000000,443.569039,118.577558,0.004870,8.745000,45
39999,189,304.825012,70.000000,478.788373,157.587113,0.005253,9.985000,55
47999,184,275.540009,70.000000,456.988423,172.809690,0.004927,9.660000,65
55999,187,290.029999,70.000000,383.962789,134.777591,0.004582,8.675000,75
63999,178,243.675003,70.000000,324.934176,111.583016,0.004248,7.965000,85
71999,171,259.285004,70.000000,382.897157,170.552691,0.004718,8.480000,95
79999,129,153.134995,70.000000,355.336477,131.517181,0.004397,7.570000,100
87999,176,249.029999,70.000000,384.435800,167.321086,0.004602,9.615000,100
95999,155,183.410004,70.000000,340.862154,131.146468,0.004470,8.755000,100
103999,147,182.740005,70.000000,243.464934,71.930296,0.003641,4.945000,100
111999,147,183.580002,70.000000,230.892974,65.714370,0.003571,5.110000,100
119999,145,136.074997,70.000000,214.152963,46.238652,0.003556,5.755000,100
127999,138,166.154999,70.000000,219.013043,48.771449,0.003586,4.930000,100
135999,162,197.990005,70.000000,245.353026,109.156177,0.004144,6.390000,100
143999,160,188.134995,70.000000,279.662384,122.979192,0.004236,7.375000,100
151999,131,187.014999,70.000000,265.289211,93.989639,0.003645,6.155000,100
159999,93,69.514999,70.000000,240.171154,44.853721,0.003543,4.215000,100
167999,161,223.755005,70.000000,324.786452,101.074157,0.004180,7.010000,100
175999,164,225.654999,70.000000,408.613964,132.269951,0.004783,9.200000,100
183999,185,207.925003,70.000000,428.535661,82.476206,0.005107,8.050000,100
191999,175,232.505005,70.000000,375.939918,81.446376,0.004533,6.815000,100
199999,179,233.274994,70.000000,405.727966,89.204388,0.004822,7.590000,100
207999,185,266.730011,70.000000,460.878516,145.382159,0.005013,10.230000,100
215999,183,199.035004,70.000000,490.712345,119.616657,0.005219,10.155000,100
223999,174,258.000000,70.000000,426.213519,110.518794,0.004559,8.800000,100
231999,160,207.625000,70.000000,399.896654,112.267209,0.004400,8.400000,100
239999,171,224.205002,70.000000,381.425617,109.216668,0.004309,9.310000,100
247999,166,208.869995,70.000000,410.274721,109.561863,0.004514,8.430000,100
255999,171,217.695007,70.000000,425.943207,99.712245,0.004783,8.655000,100
263999,171,245.085007,70.000000,442.985237,96.649325,0.004776,8.560000,100
271999,168,242.789993,70.000000,430.725097,88.536179,0.004598,7.270000,100
279999,134,156.979996,70.000000,327.443306,44.517620,0.003606,4.510000,100
287999,136,184.630005,70.000000,403.052369,54.498735,0.004224,4.200000,100
295999,124,116.459999,70.000000,371.581711,32.770221,0.003931,3.575000,100
303999,168,227.384995,70.000000,465.083835,69.189487,0.004908,7.530000,100
311999,165,195.414993,70.000000,424.528371,62.993615,0.004560,5.775000,100
319999,147,171.100006,70.000000,329.451454,75.443944,0.004040,5.750000,100
327999,168,211.770004,70.000000,377.210280,88.915445,0.004306,7.420000,100
335999,154,177.039993,70.000000,372.153461,67.391150,0.004239,6.340000,100
343999,153,184.455002,70.000000,371.361894,93.105830,0.004094,7.190000,100
351999,156,182.065002,70.000000,377.503183,120.301416,0.004138,7.895000,100
359999,179,233.404999,70.000000,383.892555,117.499952,0.004553,8.155000,100
367999,164,237.645004,70.000000,432.149675,129.998565,0.004701,9.635000,100
375999,180,236.350006,70.000000,350.585595,88.564400,0.004381,6.555000,100
383999,180,212.550003,70.000000,397.052024,85.024852,0.004616,7.100000,100
391999,169,213.449997,70.000000,379.786823,137.653855,0.004339,10.320000,100
399999,178,213.250000,70.000000,361.143262,117.070516,0.004620,8.825000,100
407999,128,122.339996,70.000000,203.008145,85.839234,0.002934,5.725000,100
415999,173,214.264999,70.000000,355.882425,93.957742,0.004337,7.235000,100
423999,181,223.804993,70.000000,285.859313,83.428257,0.003907,6.755000,100
431999,178,184.440002,70.000000,315.107646,68.194984,0.004425,6.080000,100
439999,133,130.164993,70.000000,287.063874,98.335361,0.003921,5.755000,100
447999,184,236.919998,70.000000,357.371041,123.415544,0.004512,8.490000,100
