#iteration,activeAgent,energyMean,costValue,walkGlobal,walkGlobalDeparture,AreaCovered,ReservoirSizeMean,RegrowDelayFoodItem
7999,171,203.315002,70.017783,252.266427,108.381309,0.003651,6.520000,25
15999,170,225.634995,61.980616,303.357723,107.269893,0.003888,8.010000,25
23999,193,319.429993,67.281630,294.209170,106.196847,0.004044,7.415000,35
31999,185,353.209991,69.823602,339.773797,107.599678,0.004216,8.415000,45
39999,181,281.035004,64.216195,387.838614,116.131081,0.004810,8.695000,55
47999,193,322.394989,66.373524,416.900121,119.116912,0.004926,9.725000,65
55999,192,300.005005,76.568216,425.132824,143.067978,0.005157,9.905000,75
63999,192,398.774994,82.173532,401.773988,135.425086,0.005008,9.195000,85
71999,194,410.065002,90.938505,355.335081,109.950590,0.004496,8.165000,95
79999,189,445.829987,89.967401,429.237368,133.521952,0.004966,10.115000,105
87999,189,379.475006,86.324026,434.827761,126.451081,0.004922,9.350000,115
95999,190,389.605011,84.598861,420.575848,139.532749,0.004809,9.395000,125
103999,181,306.994995,82.242747,461.544491,102.538709,0.005174,8.250000,135
111999,186,345.619995,89.468718,458.929486,120.692055,0.005213,9.080000,145
119999,181,357.195007,87.539566,433.774696,145.964625,0.004894,9.620000,155
127999,167,272.540009,89.204085,412.848220,107.187116,0.004581,7.465000,165
135999,169,298.545013,84.663735,402.387086,155.045731,0.004818,9.055000,175
143999,158,244.595001,83.010888,369.813203,151.851457,0.004304,10.095000,185
151999,156,226.115005,81.574596,339.951251,147.681587,0.004029,9.520000,195
159999,136,160.595001,72.579851,250.303344,122.905995,0.003226,6.760000,205
167999,143,158.875000,68.991753,272.229673,126.105126,0.003317,7.270000,215
175999,139,169.975006,85.147122,312.340411,80.689357,0.003761,6.930000,225
183999,151,208.164993,88.325746,313.228476,123.130413,0.003824,8.695000,235
191999,158,223.145004,93.919173,427.544073,112.900978,0.004784,9.400000,245
199999,146,234.229996,93.533336,388.783435,148.362342,0.004341,9.915000,255
207999,145,230.789993,91.573253,379.082892,145.074302,0.004302,9.090000,265
215999,140,214.839996,88.726966,392.392569,172.190208,0.004341,8.625000,275
223999,149,181.425003,88.930193,435.073524,87.636774,0.004480,5.310000,285
231999,149,219.770004,86.775429,424.112127,175.251559,0.004694,9.290000,295
239999,138,202.720001,86.379961,380.306402,153.509376,0.004220,9.730000,305
247999,124,181.320007,85.585048,376.804728,168.520419,0.004121,7.010000,315
255999,140,186.104996,90.365605,446.823506,180.328666,0.004738,9.310000,325
263999,141,186.979996,91.506895,423.604294,190.917061,0.004610,8.810000,335
271999,144,176.660004,89.245040,431.104206,158.884242,0.004712,9.000000,345
279999,136,148.375000,84.271930,463.864924,177.839146,0.005051,8.255000,355
287999,132,151.235001,84.043259,481.734304,145.594588,0.005145,11.345000,365
295999,125,129.449997,75.866648,455.382121,122.549766,0.004886,7.410000,375
303999,122,107.754997,78.571088,420.410490,133.018599,0.004576,6.495000,385
311999,118,117.135002,81.697386,411.607397,123.905991,0.004483,7.680000,395
319999,119,111.375000,77.993720,432.943329,129.018671,0.004564,6.945000,400
327999,106,131.580002,78.455992,419.737169,112.222315,0.004606,10.270000,400
335999,123,151.119995,75.830257,440.111788,125.036846,0.004781,10.420000,400
343999,130,141.250000,63.459926,433.033659,128.462566,0.004768,10.650000,400
351999,133,129.259995,61.088153,450.545578,147.946363,0.004826,10.900000,400
359999,130,115.830002,58.964874,412.806515,119.084522,0.004565,8.495000,400
367999,119,137.429993,74.293123,407.531403,152.372474,0.004508,10.175000,400
375999,142,154.195007,75.463532,411.685564,119.749769,0.004694,9.355000,400
383999,130,137.235001,77.933813,453.634036,128.664178,0.004857,9.400000,400
391999,143,158.210007,73.522101,421.462463,173.583990,0.004615,11.430000,400
399999,108,116.809998,74.339366,348.646337,128.863419,0.003954,9.500000,400
407999,132,139.339996,83.349356,384.557992,124.749646,0.004423,8.905000,400
415999,131,148.649994,78.605851,369.784870,146.824334,0.004380,8.790000,400
