#iteration,activeAgent,energyMean,costValue,walkGlobal,walkGlobalDeparture,AreaCovered,ReservoirSizeMean,RegrowDelayFoodItem
399,15,14.490000,32.555695,145.785645,32.783953,0.001811,2.505000,25
799,15,13.380000,33.718310,135.155019,31.394545,0.001735,2.585000,25
1199,14,11.140000,30.396913,133.767905,35.115989,0.001764,2.765000,25
1599,18,17.805000,43.616950,152.465278,46.159078,0.001927,3.175000,25
1999,21,26.180000,45.492519,157.692145,41.361571,0.001962,3.110000,25
2399,25,29.665001,47.450308,166.307595,44.461729,0.002068,3.345000,25
2799,27,38.320000,49.115677,174.323471,50.145393,0.002177,3.510000,25
3199,37,49.139999,31.748737,189.712288,59.216389,0.002377,3.895000,25
3599,36,55.619999,58.351212,191.937259,59.870930,0.002441,3.940000,25
3999,35,41.290001,48.772466,192.250876,57.329983,0.002378,3.600000,25
4399,30,34.270000,50.278435,195.697817,62.564957,0.002430,4.060000,25
4799,32,46.070000,59.350189,206.286389,62.290761,0.002536,4.280000,25
5199,33,33.150002,51.482394,202.297824,62.751409,0.002585,4.140000,25
5599,34,34.305000,51.003113,211.771361,62.284614,0.002629,4.465000,25
5999,41,43.799999,61.380813,201.539346,66.457202,0.002514,4.535000,25
6399,42,62.665001,63.334577,216.124975,65.528166,0.002731,4.495000,25
6799,50,62.105000,54.921249,226.304897,71.389206,0.002833,4.635000,25
7199,56,71.559998,61.371744,224.085487,65.078349,0.002777,4.665000,25
7599,50,53.900002,60.220210,226.017162,72.568169,0.002775,4.670000,25
7999,54,56.025002,65.248389,231.686635,71.478394,0.002777,4.455000,25
8399,50,65.089996,64.338989,225.383534,70.816635,0.002752,4.635000,25
8799,64,71.445000,48.841546,245.940323,69.930889,0.002988,4.585000,25
9199,62,85.230003,71.318031,251.061384,65.179130,0.003051,4.740000,25
9599,76,88.599998,71.761100,253.366585,67.162211,0.003029,4.850000,25
9999,70,102.305000,76.116716,266.045197,66.765322,0.003073,4.645000,25
10399,80,101.339996,71.298782,289.576826,69.847902,0.003351,5.190000,25
10799,72,95.915001,73.160224,274.098629,69.322258,0.003174,4.575000,25
11199,80,120.160004,72.151544,288.950929,65.216978,0.003266,4.635000,25
11599,87,125.830002,67.510374,300.417232,77.419563,0.003454,5.210000,25
11999,82,104.410004,68.139101,289.599343,70.409864,0.003292,5.045000,25
