#iteration,activeAgent,energyMean,costValue,walkGlobal,walkGlobalDeparture,AreaCovered,ReservoirSizeMean,RegrowDelayFoodItem
399,38,35.500000,70.000000,172.563047,36.619090,0.002056,2.725000,25
799,45,44.200001,70.000000,175.265752,36.392652,0.002124,2.770000,25
1199,45,38.735001,70.000000,155.861951,41.390225,0.001951,3.135000,25
1599,50,43.924999,70.000000,164.161699,41.548774,0.001959,2.900000,25
1999,44,41.404999,70.000000,182.625231,57.271202,0.002245,3.590000,25
2399,68,80.330002,70.000000,206.432779,53.921083,0.002479,4.030000,25
2799,73,80.775002,70.000000,218.539358,56.058229,0.002589,3.795000,25
3199,68,72.065002,70.000000,206.019973,56.114955,0.002436,3.815000,25
3599,67,91.309998,70.000000,223.718125,60.199117,0.002611,3.995000,25
3999,83,96.535004,70.000000,242.553829,66.192357,0.002900,4.655000,25
4399,75,82.754997,70.000000,234.135511,65.339117,0.002739,4.430000,25
4799,76,82.464996,70.000000,229.557332,56.591578,0.002703,4.005000,25
5199,67,64.805000,70.000000,223.193278,71.751672,0.002715,4.210000,25
5599,77,82.860001,70.000000,237.578822,70.234683,0.002811,4.345000,25
5999,81,80.459999,70.000000,242.602885,70.358889,0.002888,5.025000,25
6399,71,66.839996,70.000000,230.583279,70.796133,0.002726,4.675000,25
6799,71,69.614998,70.000000,236.020471,61.666663,0.002766,4.360000,25
7199,69,71.349998,70.000000,234.185708,65.336345,0.002685,4.710000,25
7599,76,83.660004,70.000000,238.582894,70.390005,0.002792,4.770000,25
7999,87,103.165001,70.000000,255.343744,78.683260,0.002971,4.725000,25
8399,85,107.214996,70.000000,264.222435,70.505529,0.002966,4.960000,25
8799,77,116.555000,70.000000,238.558832,65.576756,0.002781,4.610000,25
9199,96,131.360001,70.000000,287.355249,80.732183,0.003346,5.220000,25
9599,89,119.500000,70.000000,268.704212,76.204695,0.003187,4.795000,25
9999,99,129.195007,70.000000,278.060664,84.442658,0.003250,5.285000,25
10399,96,129.395004,70.000000,290.393986,78.958782,0.003285,5.005000,25
10799,101,135.744995,70.000000,277.150364,78.243494,0.003172,4.500000,25
11199,93,133.580002,70.000000,257.019525,65.570400,0.002918,4.070000,25
11599,98,144.880005,70.000000,284.890291,71.292735,0.003268,4.855000,25
11999,107,147.794998,70.000000,299.108634,85.951839,0.003387,5.165000,25
