#iteration,activeAgent,energyMean,costValue,walkGlobal,walkGlobalDeparture,AreaCovered,ReservoirSizeMean,RegrowDelayFoodItem
399,15,16.330000,32.094200,155.173200,28.832323,0.001812,2.990000,25
799,20,17.820000,34.628793,140.188632,34.919802,0.001748,3.250000,25
1199,19,18.105000,31.053337,141.184988,32.985847,0.001804,3.065000,25
1599,23,23.094999,36.889831,137.734193,34.702657,0.001767,3.235000,25
1999,23,27.040001,36.388700,142.111164,37.175251,0.001814,3.225000,25
2399,29,27.139999,38.504791,154.626424,43.667669,0.002013,3.835000,25
2799,15,19.900000,32.828512,143.410411,37.489696,0.001789,3.515000,25
3199,21,28.990000,35.274223,157.059155,41.611793,0.001955,3.655000,25
3599,32,40.060001,44.171198,170.227084,44.542032,0.002109,3.585000,25
3999,24,35.494999,43.407974,174.495877,47.635432,0.002121,4.245000,25
4399,33,48.064999,48.613577,191.991271,48.804643,0.002339,4.435000,25
4799,40,57.639999,49.721554,203.185640,53.809446,0.002474,4.620000,25
5199,56,80.775002,52.768989,201.602483,57.299849,0.002481,4.265000,25
5599,56,78.824997,53.663136,196.506540,51.169837,0.002387,4.415000,25
5999,59,85.485001,54.725649,207.200705,49.553624,0.002535,4.485000,25
6399,52,78.050003,54.012571,213.581214,52.377876,0.002527,4.275000,25
6799,59,88.690002,51.359701,213.375541,48.884984,0.002529,4.140000,25
7199,66,95.025002,57.160795,236.287243,57.482800,0.002742,4.295000,25
7599,61,103.900002,55.568105,236.274464,55.776991,0.002785,4.345000,25
7999,72,109.160004,57.004649,243.070275,55.446189,0.002794,4.395000,25
8399,66,86.504997,51.662968,242.234627,61.835894,0.002831,4.350000,25
8799,50,87.195000,50.750548,219.136130,53.446829,0.002540,4.000000,25
9199,57,86.959999,57.174986,225.630754,54.562860,0.002630,4.125000,25
9599,62,84.635002,52.941656,232.821423,62.744204,0.002749,5.025000,25
9999,55,74.995003,48.981680,249.582090,65.478632,0.002850,5.065000,25
10399,53,69.885002,51.141641,255.464814,60.326890,0.002908,5.150000,25
10799,63,90.290001,55.288801,264.293400,68.962456,0.003054,5.035000,25
