#iteration,activeAgent,energyMean,costValue,walkGlobal,walkGlobalDeparture,AreaCovered,ReservoirSizeMean,RegrowDelayFoodItem
399,41,52.250000,100.000000,175.609395,37.889759,0.002151,3.085000,25
799,73,98.055000,100.000000,175.697658,37.580496,0.002208,3.545000,25
1199,92,130.020004,100.000000,200.483544,49.561382,0.002479,3.845000,25
1599,112,197.285004,100.000000,229.963898,52.801863,0.002799,4.065000,25
1999,112,218.404999,100.000000,238.319583,60.873682,0.002898,4.060000,25
2399,119,229.070007,100.000000,257.025246,70.323012,0.003127,5.070000,25
2799,123,255.274994,100.000000,258.427015,78.670335,0.003172,5.530000,25
3199,126,276.480011,100.000000,286.414269,74.083828,0.003374,5.500000,25
3599,141,303.894989,100.000000,309.476931,86.104324,0.003660,5.880000,25
3999,140,281.890015,100.000000,305.957079,93.738967,0.003620,6.140000,25
4399,127,264.415009,100.000000,289.969570,72.423240,0.003404,5.095000,25
4799,129,275.065002,100.000000,296.333188,71.316747,0.003446,5.285000,25
5199,139,279.140015,100.000000,302.638633,81.412526,0.003555,5.575000,25
5599,130,299.320007,100.000000,307.769172,87.769963,0.003592,5.490000,25
5999,147,306.869995,100.000000,303.463296,92.192414,0.003610,5.885000,25
6399,144,318.510010,100.000000,313.879086,85.713422,0.003624,5.690000,25
6799,155,334.109985,100.000000,309.529585,85.398107,0.003629,5.315000,25
7199,153,313.290009,100.000000,317.983909,91.096079,0.003673,5.740000,25
7599,152,323.350006,100.000000,329.761845,99.719575,0.003870,6.335000,25
7999,150,334.834991,100.000000,320.808732,88.450191,0.003742,5.605000,25
8399,155,340.575012,100.000000,341.317520,104.075102,0.003976,6.385000,25
8799,163,326.059998,100.000000,333.564192,111.228247,0.003925,6.165000,25
9199,141,296.959991,100.000000,316.439237,100.815012,0.003718,5.910000,25
9599,145,303.154999,100.000000,342.270580,98.335154,0.003939,6.450000,25
9999,146,293.619995,100.000000,333.374654,96.219437,0.003829,5.560000,25
10399,148,288.829987,100.000000,339.686397,100.568979,0.003929,6.015000,25
10799,146,302.065002,100.000000,333.384363,94.224109,0.003887,6.070000,25
11199,148,285.105011,100.000000,331.498686,94.349118,0.003877,6.370000,25
11599,142,285.894989,100.000000,319.456398,93.268751,0.003785,5.985000,25
11999,155,320.535004,100.000000,350.548524,108.257113,0.004127,7.220000,25
12399,163,331.880005,100.000000,354.312310,100.288772,0.004155,7.000000,25
12799,160,341.730011,100.000000,350.371478,107.707032,0.004085,6.800000,25
13199,161,358.575012,100.000000,368.507185,97.961896,0.004151,6.615000,25
13599,170,358.144989,100.000000,384.079697,108.969097,0.004373,6.960000,25
13999,168,361.329987,100.000000,368.267857,103.137620,0.004199,6.905000,25
14399,169,369.885010,100.000000,385.440570,104.063901,0.004353,7.740000,25
14799,165,381.065002,100.000000,378.795760,100.323639,0.004281,7.440000,25
15199,164,402.179993,100.000000,378.842245,103.944989,0.004335,7.705000,25
15599,173,403.084991,100.000000,395.145199,105.514645,0.004451,7.830000,25
15999,168,382.704987,100.000000,376.058632,111.668324,0.004285,8.020000,25
16399,168,390.160004,100.000000,369.571526,118.228484,0.004240,7.680000,25
16799,163,397.524994,100.000000,373.022555,112.957590,0.004264,7.510000,25
17199,168,401.350006,100.000000,399.290310,116.430360,0.004432,8.505000,25
17599,170,421.519989,100.000000,392.351847,121.871065,0.004413,8.610000,25
